epoch,deterministic,uniform_v1,uniform_v2
1,16.1,15.9,17.0
2,52.1,40.7,53.1
3,52.6,49.1,50.9
4,65.7,52.9,63.6
5,87.6,70.6,83.9
6,56.1,61.2,58.2
7,65.4,58.7,64.5
8,70.1,63.6,69.7
9,65.8,57.4,72.5
10,85.0,75.9,71.6
11,94.4,84.4,89.3
12,77.4,83.8,67.5
13,82.8,77.9,88.3
14,73.7,76.1,84.3
15,55.2,58.6,63.8
16,70.8,87.5,101.5
17,76.6,85.1,81.1
18,61.9,62.7,82.1
19,81.2,61.0,99.5
20,95.3,91.2,84.6
21,110.6,72.0,99.2
22,101.4,84.6,96.2
23,71.4,88.0,66.0
24,68.0,74.5,65.2
25,84.3,83.2,80.8
26,63.9,82.0,65.7
27,96.2,92.2,92.3
28,113.8,75.7,97.0
29,97.2,102.7,106.5
30,95.0,78.8,108.7
31,92.1,78.7,96.8
32,90.0,91.6,85.8
33,90.4,96.3,90.2
34,85.6,89.3,74.8
35,101.5,96.9,103.3
36,97.1,95.7,86.7
37,106.1,101.5,118.5
38,109.5,90.6,86.9
39,95.5,100.1,87.1
40,101.0,110.6,95.4
41,97.3,102.8,106.2
42,107.2,107.7,110.5
43,108.3,90.5,113.3
44,86.6,87.3,111.9
45,123.4,97.8,115.4
46,112.5,103.5,105.6
47,98.6,86.1,100.4
48,113.0,113.5,102.2
49,96.3,122.7,109.7
50,110.0,109.1,99.8
51,99.6,96.5,86.6
52,102.0,100.6,84.1
53,123.8,108.8,113.8
54,114.2,116.2,92.5
55,121.8,94.9,80.7
56,92.3,116.0,84.6
57,114.4,110.4,95.6
58,100.0,104.2,73.6
59,111.2,122.6,94.6
60,84.9,121.1,91.5
61,116.2,109.6,92.9
62,104.7,100.5,100.2
63,86.0,113.1,101.2
64,91.1,119.0,95.5
65,120.4,129.5,129.9
66,116.4,131.6,134.9
67,111.7,110.7,103.8
68,122.6,118.2,113.8
69,115.4,125.3,100.8
70,112.3,130.2,129.7
71,113.8,129.1,143.9
72,114.9,144.0,99.0
73,138.2,101.5,103.7
74,114.5,105.0,118.6
75,102.5,138.4,78.8
76,111.4,91.4,81.8
77,117.6,116.2,97.1
78,92.4,114.9,68.5
79,112.5,75.0,86.5
80,109.1,161.7,93.6
81,139.9,110.7,127.0
82,117.0,135.7,91.4
83,137.0,136.2,141.6
84,120.7,122.3,95.9
85,147.9,144.6,107.8
86,150.2,140.1,131.6
87,123.8,173.7,97.3
88,115.7,125.7,118.3
89,113.6,103.1,109.8
90,110.4,137.0,92.7
91,105.3,125.3,121.4
92,111.8,113.6,111.4
93,109.8,126.1,78.8
94,121.8,150.3,88.7
95,126.4,110.1,110.7
96,133.1,160.4,121.9
97,113.2,151.2,91.3
98,146.5,111.7,126.5
99,121.9,130.7,108.2
100,114.7,130.8,85.3
101,76.9,78.8,93.5
102,133.5,152.4,122.2
103,92.0,151.0,69.8
104,133.5,157.2,113.8
105,138.0,133.2,103.4
106,90.5,118.3,91.9
107,106.9,150.9,84.4
108,128.3,126.8,116.8
109,127.1,161.9,118.9
110,146.8,128.6,128.3
111,144.9,101.1,140.6
112,118.4,116.7,116.9
113,146.7,165.6,112.9
114,110.6,167.6,104.5
115,127.4,123.8,110.0
116,167.3,112.5,122.1
117,114.8,161.2,121.8
118,104.5,164.0,86.2
119,136.3,146.0,103.5
120,133.7,130.9,111.8
121,145.0,173.5,123.1
122,120.7,155.5,120.0
123,125.1,158.6,115.8
124,110.9,144.9,122.9
125,139.2,159.5,133.6
126,127.3,159.4,119.9
127,126.5,171.5,109.6
128,138.1,112.4,128.2
129,128.0,172.2,128.0
130,145.9,190.5,123.5
131,120.1,184.5,119.7
132,91.6,108.5,117.2
133,117.6,143.7,114.2
134,124.1,166.5,126.3
135,117.3,125.5,115.4
136,124.2,147.9,125.9
137,151.1,150.0,137.5
138,137.7,103.3,124.6
139,119.6,218.4,118.9
140,105.1,206.0,103.3
141,119.1,113.5,118.8
142,140.7,176.7,108.4
143,131.3,223.8,126.1
144,140.4,192.5,122.1
145,137.1,145.4,114.0
146,132.6,177.9,123.3
147,111.4,218.2,125.3
148,137.5,155.0,131.2
149,127.1,212.6,119.2
150,180.8,167.6,133.0
151,119.0,140.7,122.4
152,134.0,278.1,128.6
153,123.5,195.3,113.2
154,140.7,147.1,110.2
155,119.2,192.9,108.1
156,131.0,313.3,115.3
157,183.4,136.8,124.3
158,95.4,307.1,108.2
159,120.3,286.9,122.2
160,150.9,201.3,128.9
161,120.8,174.2,127.5
162,141.7,242.9,107.1
163,146.6,141.3,148.2
164,144.0,188.2,125.4
165,151.9,197.3,125.4
166,127.4,139.2,116.8
167,151.8,247.6,129.3
168,131.1,164.1,122.7
169,129.7,163.2,121.3
170,143.5,287.7,130.2
171,138.1,162.2,145.7
172,142.7,151.7,127.9
173,142.0,172.5,110.6
174,140.7,182.9,127.8
175,152.6,217.8,127.2
176,124.9,268.1,110.8
177,131.1,276.2,117.1
178,118.6,217.9,122.3
179,151.7,207.6,130.8
180,129.8,188.3,125.0
181,149.8,165.9,123.5
182,121.9,185.8,120.6
183,110.9,220.4,112.9
184,153.1,240.9,133.2
185,129.1,142.9,116.0
186,134.0,226.5,131.8
187,134.0,216.0,127.3
188,118.1,196.8,123.2
189,146.0,189.8,122.9
190,136.8,232.1,127.6
191,147.3,296.1,120.2
192,121.7,209.9,123.8
193,133.9,159.2,129.7
194,129.3,184.8,126.9
195,138.0,239.8,116.3
196,113.1,171.2,116.0
197,131.4,304.0,126.9
198,127.9,316.0,117.3
199,144.3,194.9,133.6
200,137.3,202.2,119.8
201,178.1,161.3,125.7
202,150.1,176.0,132.1
203,135.9,265.6,131.2
204,132.5,286.5,122.4
205,150.9,215.8,108.9
206,125.1,275.9,114.3
207,161.6,220.7,119.3
208,191.0,208.6,115.4
209,134.1,233.4,127.3
210,156.3,244.0,123.8
211,137.4,203.8,117.3
212,138.7,243.1,129.5
213,169.9,200.2,156.1
214,155.1,190.3,148.2
215,163.4,229.6,142.8
216,116.1,210.4,112.7
217,178.7,173.2,145.7
218,138.5,286.9,111.8
219,217.2,257.0,140.2
220,131.9,194.8,134.8
221,211.4,199.2,123.4
222,148.8,189.2,126.1
223,173.5,162.4,133.1
224,164.8,297.8,132.7
225,144.0,259.9,142.9
226,146.7,270.8,131.7
227,193.8,154.3,146.2
228,165.1,167.1,134.8
229,186.2,276.1,152.7
230,180.0,260.3,117.0
231,126.5,396.3,100.7
232,138.2,306.9,117.0
233,164.1,158.7,166.2
234,154.4,254.1,135.0
235,148.9,289.3,113.9
236,163.5,229.7,127.0
237,126.9,221.9,108.3
238,141.7,242.9,128.9
239,257.4,181.0,140.3
240,229.7,278.8,140.9
241,163.8,334.5,127.6
242,155.9,271.8,115.9
243,154.2,219.4,129.5
244,122.8,266.7,120.9
245,132.3,205.5,96.8
246,144.0,153.7,127.7
247,130.1,277.5,106.1
248,135.4,154.0,134.6
249,189.5,182.7,155.5
250,128.4,160.7,123.0
251,229.4,324.0,138.4
252,123.8,286.5,117.1
253,112.6,179.2,130.7
254,137.3,165.7,120.5
255,399.4,251.9,134.9
256,177.0,175.4,143.4
257,191.1,232.1,190.8
258,199.4,231.2,135.1
259,204.2,445.2,156.1
260,152.0,198.5,135.1
261,165.5,247.5,165.8
262,172.7,445.8,132.1
263,134.2,204.9,122.5
264,173.9,224.9,135.8
265,135.9,293.0,121.3
266,184.4,330.2,124.5
267,311.5,278.2,117.1
268,181.1,183.4,140.2
269,175.2,168.9,108.0
270,229.0,151.9,120.8
271,158.0,367.7,113.3
272,171.7,171.5,122.1
273,149.6,257.2,134.6
274,127.5,282.8,124.8
275,172.9,481.1,115.0
276,162.8,363.3,126.0
277,167.3,184.3,126.5
278,146.2,194.5,128.7
279,433.5,317.5,125.9
280,147.4,377.4,116.1
281,242.0,220.4,138.3
282,151.2,704.6,117.2
283,132.3,283.8,136.2
284,187.0,684.9,143.9
285,168.9,327.2,132.9
286,135.6,591.3,138.2
287,125.5,446.6,129.2
288,179.3,417.9,115.9
289,153.6,235.6,119.6
290,158.6,843.1,117.2
291,199.4,643.0,132.4
292,145.8,517.8,121.7
293,139.0,357.7,122.6
294,121.7,399.0,119.3
295,131.8,894.1,133.4
296,180.7,654.0,146.6
297,166.1,475.2,111.0
298,215.7,589.4,120.9
299,172.1,734.6,116.8
300,159.7,267.4,125.7
301,132.2,718.7,113.8
302,135.3,239.0,110.9
303,219.2,311.7,148.2
304,128.5,388.7,109.2
305,176.5,558.6,122.7
306,129.8,422.9,112.5
307,197.1,293.4,124.7
308,136.8,423.6,117.4
309,164.3,259.2,106.2
310,169.1,321.0,118.3
311,140.7,333.3,125.7
312,127.8,263.4,99.2
313,163.5,507.1,119.3
314,169.3,358.1,101.0
315,155.3,413.5,130.5
316,164.7,236.8,123.7
317,200.7,177.9,190.5
318,107.3,295.5,98.1
319,131.5,281.0,127.1
