epoch,deterministic,uniform_v1,uniform_v2
1,27.0,16.9,28.5
2,51.0,49.2,51.8
3,51.3,44.9,53.9
4,100.5,87.2,88.9
5,68.7,64.8,66.8
6,62.7,87.3,63.4
7,64.4,82.7,55.9
8,53.8,91.5,51.8
9,58.1,71.5,50.0
10,53.8,77.2,50.5
11,70.5,67.1,65.0
12,65.7,71.3,89.4
13,73.5,80.2,75.2
14,92.3,67.1,93.8
15,60.3,78.8,69.5
16,94.1,73.1,79.5
17,90.5,87.9,72.7
18,85.6,83.5,83.6
19,70.7,73.5,81.9
20,73.2,98.5,87.5
21,76.2,100.7,107.7
22,121.1,87.4,107.3
23,93.4,107.7,112.6
24,65.3,84.1,75.0
25,72.1,107.1,71.9
26,90.3,103.6,97.2
27,115.5,94.3,86.5
28,83.3,102.6,89.2
29,106.2,101.7,111.6
30,88.3,92.1,104.7
31,93.8,91.6,97.4
32,109.3,73.4,104.9
33,107.0,79.2,84.3
34,121.9,86.0,91.0
35,91.2,113.7,106.3
36,100.7,115.0,108.9
37,119.3,128.2,96.8
38,76.6,99.6,82.4
39,106.2,95.3,94.9
40,98.9,94.7,104.3
41,104.6,106.1,106.3
42,95.5,106.7,103.7
43,105.9,107.3,92.6
44,91.1,89.3,103.5
45,103.8,99.6,116.6
46,94.4,162.5,89.1
47,110.0,89.7,104.0
48,95.8,88.9,85.8
49,125.9,96.0,114.8
50,85.5,101.3,114.6
51,115.8,107.1,107.7
52,118.6,99.1,123.2
53,120.7,100.1,115.3
54,93.2,117.2,96.2
55,91.8,110.8,98.1
56,104.0,125.6,99.3
57,95.2,104.4,101.3
58,115.5,119.9,122.8
59,120.8,114.3,120.1
60,104.3,91.2,130.1
61,126.6,111.7,129.2
62,114.7,102.6,126.8
63,116.2,104.1,113.9
64,120.6,94.9,114.5
65,157.5,133.9,134.9
66,142.7,102.0,119.0
67,126.1,116.1,120.4
68,124.3,114.4,112.6
69,128.7,118.0,119.5
70,139.2,109.1,134.7
71,118.5,114.4,113.1
72,108.9,95.0,105.5
73,119.1,91.1,120.6
74,120.3,87.8,141.6
75,106.7,147.0,95.4
76,109.1,93.9,109.7
77,120.4,141.4,113.6
78,100.6,100.7,115.7
79,109.2,106.7,108.0
80,117.5,107.5,103.2
81,103.8,103.7,104.7
82,114.4,113.0,107.3
83,105.5,102.8,103.2
84,153.9,108.2,112.7
85,135.3,111.9,101.8
86,142.4,123.8,109.9
87,133.0,109.3,117.7
88,100.4,117.8,89.5
89,166.4,114.7,143.4
90,162.1,131.4,112.2
91,139.8,147.7,108.8
92,141.7,175.3,106.6
93,173.1,177.0,102.8
94,155.2,135.5,117.0
95,200.3,117.5,121.1
96,169.8,133.5,126.3
97,210.3,158.4,119.6
98,125.0,144.7,119.0
99,145.5,120.9,116.8
100,143.9,159.5,110.3
101,135.9,126.1,120.7
102,157.9,182.5,121.1
103,129.3,179.7,108.0
104,130.8,126.4,108.6
105,157.6,133.2,113.1
106,184.7,126.1,137.2
107,127.0,148.7,104.7
108,144.4,188.9,122.2
109,186.3,127.9,131.2
110,146.7,139.1,122.3
111,206.6,187.7,132.3
112,175.9,140.0,133.4
113,160.6,181.4,124.1
114,178.9,142.3,115.6
115,106.9,177.1,107.9
116,156.6,176.6,133.4
117,176.7,151.3,113.0
118,172.5,152.6,126.7
119,134.5,189.5,113.7
120,147.0,149.6,124.1
121,144.0,122.7,111.8
122,144.7,168.7,106.9
123,194.3,144.4,124.9
124,174.1,132.9,105.0
125,152.0,122.6,142.0
126,158.2,177.4,114.6
127,184.7,166.5,122.8
128,154.1,192.6,107.1
129,142.8,145.1,119.9
130,143.2,202.5,103.2
131,138.4,141.8,122.7
132,171.7,151.8,109.8
133,124.0,200.6,112.1
134,173.5,151.0,118.4
135,188.3,242.4,121.8
136,138.9,172.0,103.7
137,127.7,196.4,117.9
138,153.1,189.2,119.3
139,145.9,212.6,121.0
140,159.2,164.6,101.5
141,142.2,127.7,118.8
142,165.5,225.8,110.1
143,209.0,181.4,116.5
144,202.0,160.1,101.4
145,290.7,177.5,121.3
146,167.4,167.4,123.3
147,160.4,197.4,111.1
148,164.8,166.4,135.1
149,128.7,144.4,127.0
150,172.7,192.8,131.2
151,137.1,145.5,119.6
152,187.1,159.2,144.7
153,151.6,131.1,111.8
154,163.4,226.1,103.3
155,185.9,215.5,120.3
156,152.1,148.5,113.2
157,164.2,250.6,118.2
158,131.8,221.0,105.8
159,163.0,173.8,101.6
160,147.3,164.5,116.8
161,138.7,199.9,111.9
162,153.8,181.8,99.7
163,232.0,249.8,115.5
164,291.0,136.2,125.9
165,112.5,144.4,106.6
166,114.2,206.2,96.3
167,150.6,204.0,106.3
168,144.9,185.6,113.7
169,120.8,169.8,101.9
170,126.6,273.6,99.7
171,257.0,259.3,105.4
172,198.1,221.4,125.7
173,127.9,277.1,107.1
174,161.4,298.8,103.4
175,174.3,352.2,109.1
176,149.2,149.3,120.9
177,127.8,204.7,104.1
178,233.5,275.4,99.8
179,170.4,171.2,109.7
180,170.5,257.2,100.9
181,148.4,258.2,109.3
182,173.5,290.0,111.2
183,171.6,322.6,120.1
184,123.3,353.3,99.9
185,182.2,197.3,126.4
186,140.0,201.9,108.2
187,134.0,234.9,111.9
188,130.3,208.4,111.6
189,99.2,325.9,87.6
190,159.2,160.0,106.1
191,300.6,230.2,136.9
