epoch,deterministic,uniform_v1,uniform_v2
1,16.0,14.1,17.0
2,56.2,55.0,56.7
3,47.9,56.7,49.7
4,74.4,61.5,69.9
5,71.5,70.9,68.6
6,64.2,71.2,64.2
7,65.7,61.6,62.4
8,60.6,60.5,62.3
9,58.5,58.4,57.9
10,61.2,61.4,62.3
11,77.0,55.8,74.3
12,80.0,78.0,69.7
13,104.7,90.7,100.6
14,96.7,98.1,89.9
15,71.2,84.1,71.1
16,61.5,85.1,84.3
17,78.4,83.1,77.4
18,67.7,100.2,74.0
19,70.3,73.9,76.9
20,70.4,78.9,63.3
21,89.8,68.0,65.3
22,76.9,91.5,81.8
23,78.1,89.4,80.9
24,88.9,80.5,85.6
25,73.7,111.1,69.8
26,76.0,118.5,74.3
27,55.9,88.0,65.3
28,64.9,103.0,70.6
29,70.9,65.6,63.1
30,97.9,95.7,101.6
31,61.7,86.4,67.9
32,71.1,89.2,88.1
33,87.1,101.2,86.8
34,76.5,94.8,77.9
35,91.2,93.5,88.1
36,84.0,98.3,113.9
37,67.8,87.3,71.7
38,89.6,98.7,87.9
39,109.8,116.0,89.5
40,96.3,92.9,89.8
41,89.2,103.5,100.8
42,98.1,105.0,85.0
43,74.5,97.1,53.9
44,83.2,110.0,82.0
45,94.2,127.6,77.2
46,84.0,130.7,82.0
47,84.6,102.0,83.0
48,137.0,107.7,113.1
49,95.4,123.5,92.4
50,97.5,127.7,93.9
51,98.7,111.2,96.8
52,125.2,114.5,119.7
53,119.4,104.7,107.0
54,109.6,122.7,92.7
55,95.6,105.8,104.0
56,128.4,144.3,125.6
57,122.2,135.4,121.3
58,94.8,131.2,104.1
59,109.4,143.7,95.1
60,128.7,118.9,124.9
61,111.9,117.8,113.8
62,102.5,146.9,101.1
63,131.7,108.8,126.4
64,126.6,108.6,130.1
65,117.7,128.6,116.4
66,97.5,124.9,100.4
67,116.7,145.3,107.3
68,102.4,144.6,102.1
69,107.5,123.9,99.9
70,113.8,150.0,90.0
71,98.8,129.7,96.6
72,108.9,108.5,113.8
73,106.6,108.6,106.5
74,108.0,112.5,123.6
75,98.4,112.4,118.7
76,129.0,119.1,112.5
77,93.0,111.2,87.4
78,104.8,116.0,98.3
79,102.0,141.6,116.8
80,117.6,109.5,113.8
81,134.3,139.0,127.5
82,118.8,123.0,100.2
83,135.5,126.8,122.7
84,111.1,119.8,109.4
85,112.1,116.2,106.3
86,139.7,142.4,101.6
87,139.5,122.3,111.1
88,111.3,119.3,101.0
89,94.6,134.7,96.2
90,122.3,114.1,109.8
91,144.2,142.9,107.2
92,160.7,130.2,121.0
93,118.0,147.1,112.5
94,124.9,134.8,104.4
95,112.2,113.4,100.1
96,110.0,102.3,95.1
97,136.3,132.6,111.2
98,104.1,141.9,90.7
99,98.5,110.0,96.4
100,101.2,133.5,70.2
101,120.7,173.1,94.5
102,118.5,144.5,98.2
103,108.0,99.5,114.9
104,106.9,126.8,100.1
105,130.5,145.6,101.3
106,102.0,155.0,92.8
107,134.7,151.6,108.7
108,138.4,188.1,123.9
109,125.5,129.0,111.6
110,116.4,154.7,104.3
111,119.1,120.5,110.1
112,104.7,103.9,99.9
113,124.7,165.2,116.4
114,137.0,119.4,132.4
115,147.0,104.0,140.6
116,144.1,112.1,125.4
117,150.6,198.0,120.9
118,136.0,136.4,130.3
119,130.1,112.6,102.9
120,144.1,112.9,114.6
121,161.6,109.3,144.0
122,116.9,156.0,124.3
123,124.1,156.5,126.9
124,132.8,119.0,118.8
125,128.8,177.0,119.9
126,115.1,175.2,121.0
127,118.3,185.8,109.4
