epoch,deterministic,uniform_v1,uniform_v2
1,16.5,15.3,17.0
2,48.9,43.4,49.8
3,54.0,44.7,54.2
4,83.4,59.3,104.5
5,70.1,75.5,66.2
6,58.8,51.5,60.2
7,61.9,71.9,58.7
8,71.1,85.6,61.2
9,88.8,88.3,86.5
10,67.9,76.7,55.1
11,81.6,75.9,59.1
12,60.1,72.9,63.8
13,77.2,94.3,71.9
14,85.4,84.5,71.6
15,50.5,52.0,60.0
16,78.1,72.7,85.3
17,64.0,69.3,78.5
18,70.3,90.2,63.3
19,86.0,85.9,71.9
20,73.7,78.0,93.2
21,93.9,107.8,97.2
22,71.4,98.6,59.8
23,65.4,64.1,83.1
24,83.2,82.1,84.2
25,81.1,81.0,60.7
26,103.1,84.2,88.0
27,98.1,100.7,99.7
28,93.6,86.4,113.5
29,76.3,79.7,76.3
30,73.0,70.7,79.3
31,98.6,86.9,100.6
32,122.6,90.9,88.2
33,112.3,95.9,107.2
34,66.6,69.1,108.6
35,96.5,92.8,96.8
36,91.3,81.5,78.2
37,90.5,97.6,68.7
38,79.5,87.4,102.4
39,106.7,93.2,134.3
40,99.9,83.4,89.1
41,113.5,106.7,111.1
42,98.8,105.3,96.2
43,108.8,97.9,100.2
44,92.8,109.4,71.9
45,105.5,108.8,95.6
46,80.2,90.3,70.4
47,98.7,120.3,82.2
48,101.8,91.3,122.1
49,87.5,85.6,115.3
50,91.8,92.8,95.1
51,109.6,106.1,96.4
52,96.9,86.6,88.8
53,97.3,116.2,84.5
54,140.1,109.4,120.0
55,83.6,100.9,115.4
56,111.2,116.2,113.7
57,104.6,105.1,118.6
58,86.2,100.2,108.8
59,126.2,103.5,101.2
60,84.5,81.0,87.4
61,112.0,114.9,105.0
62,118.2,110.2,89.7
63,122.6,118.5,123.9
64,128.7,103.4,87.9
65,75.6,82.7,83.8
66,126.8,114.2,96.9
67,105.1,106.9,107.6
68,113.6,111.3,118.4
69,111.0,103.5,115.2
70,114.9,120.6,119.4
71,115.2,112.4,110.0
72,119.0,107.5,101.9
73,115.2,106.5,97.2
74,101.7,99.4,113.0
75,87.7,115.2,99.9
76,114.2,106.8,118.8
77,126.6,120.6,121.9
78,93.6,95.8,94.6
79,94.2,94.3,109.5
80,100.3,92.8,103.1
81,91.0,98.0,115.9
82,112.2,133.5,109.6
83,124.6,122.5,97.5
84,106.7,119.2,92.4
85,131.2,161.5,77.6
86,110.2,121.8,101.7
87,116.5,131.5,105.8
88,101.9,123.9,90.6
89,111.1,115.3,100.5
90,72.5,82.7,72.6
91,83.5,96.0,66.5
92,78.2,100.7,65.0
93,110.4,128.2,95.7
94,83.6,83.6,78.2
95,122.4,146.6,109.2
96,118.0,111.1,105.4
97,114.9,108.9,99.3
98,142.8,131.0,126.8
99,111.6,116.2,86.3
100,110.1,125.3,98.9
101,126.8,140.1,116.7
102,104.6,102.6,104.6
103,107.1,104.3,92.8
104,98.5,91.7,91.0
105,139.1,100.9,118.1
106,137.3,136.4,110.6
107,129.0,116.3,107.9
108,117.1,131.7,141.6
109,179.4,166.2,153.9
110,99.0,122.2,81.0
111,96.5,102.5,76.6
112,119.0,137.7,123.7
113,151.5,161.9,113.8
114,152.0,131.9,134.3
115,133.7,125.1,120.2
116,103.7,112.9,135.8
117,124.7,131.3,145.4
118,102.3,85.2,91.3
119,135.2,152.4,108.7
120,108.8,116.8,95.9
121,100.3,109.9,96.0
122,140.6,139.4,134.7
123,102.0,133.2,117.2
124,130.1,135.9,110.0
125,110.3,112.7,114.9
126,122.6,134.3,89.4
127,133.0,124.5,121.7
128,123.3,147.4,91.1
129,149.1,143.6,152.5
130,165.8,192.4,144.7
131,131.0,138.9,143.3
132,154.0,155.8,135.9
133,152.6,157.1,125.8
134,115.4,124.9,98.6
135,159.0,169.2,123.9
136,139.7,151.9,148.9
137,179.6,241.6,139.4
138,118.4,141.1,121.1
139,127.1,130.3,111.3
140,121.1,148.0,121.8
141,139.6,140.6,124.0
142,115.8,112.3,129.3
143,102.3,164.3,142.2
144,140.2,145.7,114.2
145,139.5,130.9,173.2
146,152.9,129.5,145.6
147,114.6,119.6,113.6
148,122.1,143.0,111.1
149,139.6,113.2,125.2
150,135.7,161.1,157.1
151,150.0,160.1,113.8
152,130.4,179.5,117.8
153,148.6,136.6,121.8
154,151.5,144.2,136.5
155,151.7,181.2,114.6
156,134.0,165.2,127.5
157,157.1,152.9,138.3
158,114.4,137.5,110.3
159,148.6,149.9,95.4
160,159.8,155.3,116.8
161,114.1,116.9,151.3
162,145.5,165.6,130.7
163,158.8,157.1,131.7
164,145.6,174.1,125.8
165,168.8,172.7,89.1
166,175.8,249.9,142.0
167,189.0,236.5,157.2
168,143.3,94.2,140.3
169,101.6,106.8,125.3
170,169.9,177.0,166.3
171,176.0,147.3,112.9
172,130.5,128.2,105.8
173,187.5,151.0,148.9
174,158.0,170.3,152.4
175,171.4,167.8,122.0
176,130.4,126.9,95.9
177,165.7,181.5,125.1
178,131.6,161.5,112.1
179,189.5,175.3,234.5
180,182.8,171.7,152.6
181,153.7,184.4,151.2
182,201.5,252.4,166.2
183,123.5,149.5,107.6
184,152.5,172.0,152.0
185,147.1,196.6,140.9
186,146.6,139.2,124.6
187,185.9,203.1,202.0
188,150.1,169.1,145.0
189,134.4,148.6,153.6
190,151.0,187.6,154.9
191,184.1,205.4,143.1
192,142.6,239.1,134.1
193,136.7,155.3,145.5
194,120.5,152.7,124.7
195,257.1,240.7,132.7
196,265.4,220.8,220.5
197,217.5,399.9,219.5
198,154.0,188.2,143.6
199,190.1,164.1,250.7
200,280.3,344.3,209.4
201,222.6,213.1,198.6
202,193.1,280.7,152.6
203,234.7,245.5,269.7
204,208.1,230.3,162.4
205,200.3,230.6,137.3
206,213.9,223.7,167.7
207,171.0,189.3,187.1
208,224.1,182.0,174.5
209,189.6,211.7,139.7
210,138.5,157.7,130.7
211,219.0,199.8,174.2
212,176.2,245.2,224.6
213,207.1,209.4,208.9
214,149.2,162.8,136.3
215,137.1,141.2,185.1
216,161.9,146.1,136.0
217,323.8,274.7,189.0
218,202.6,191.6,238.0
219,214.6,230.8,141.8
220,178.1,192.3,119.0
221,335.3,262.1,263.2
222,217.8,203.9,149.9
223,211.0,151.9,182.0
224,135.6,230.5,135.6
225,175.7,194.2,189.3
226,292.2,307.7,179.5
227,197.0,228.8,226.9
228,278.3,242.4,230.4
229,401.5,655.5,178.7
230,204.0,219.7,161.4
231,163.2,174.7,132.7
232,369.6,500.0,201.6
233,343.9,251.0,131.9
234,204.8,221.9,214.6
235,183.1,234.1,213.3
236,409.0,280.0,261.0
237,177.6,187.9,216.2
238,241.5,192.3,316.4
239,211.2,267.2,166.2
240,219.4,186.9,182.4
241,240.1,261.3,167.5
242,305.1,279.7,254.7
243,695.8,483.3,306.9
244,187.8,261.0,116.5
245,239.0,226.9,237.7
246,243.5,179.5,201.5
247,212.5,324.6,195.9
248,228.3,253.4,193.9
249,232.8,249.6,187.3
250,223.7,261.9,287.1
251,169.3,208.0,199.6
252,161.2,186.7,173.0
253,220.1,245.0,158.2
254,311.1,202.7,182.9
255,269.0,359.2,167.1
256,169.4,227.4,198.7
257,268.6,322.5,172.1
258,523.3,723.9,212.0
259,196.2,215.1,135.1
260,243.9,387.0,205.9
261,173.2,203.5,155.8
262,282.1,181.9,261.7
263,256.5,246.7,274.0
264,198.0,203.0,193.7
265,761.5,547.3,346.6
266,353.9,368.7,198.0
267,582.7,343.8,283.7
268,310.9,375.6,214.8
269,388.2,333.2,245.2
270,340.0,380.1,247.7
271,390.2,422.1,224.1
272,190.0,273.4,174.4
273,440.3,369.9,210.6
274,380.9,326.0,217.7
275,647.3,553.7,334.9
276,446.3,540.1,189.2
277,426.6,418.0,353.0
278,333.2,320.9,212.8
279,389.2,490.9,246.5
280,491.1,379.7,320.1
281,286.0,487.8,243.0
282,490.4,429.8,249.5
283,261.8,290.9,202.7
284,444.4,402.7,277.1
285,454.7,606.4,289.8
286,462.9,503.7,238.9
287,340.6,307.6,271.7
288,337.8,520.5,250.7
289,392.9,231.0,257.6
290,245.5,213.0,264.0
291,310.3,403.7,282.1
292,393.7,641.3,216.7
293,550.6,349.0,373.9
294,367.5,440.8,178.9
295,467.0,548.8,243.6
296,521.8,620.4,256.8
297,427.0,548.8,258.3
298,508.5,481.8,239.7
299,504.0,378.7,271.8
300,347.3,482.7,358.3
301,566.5,589.7,423.1
302,573.8,576.6,299.6
303,371.8,333.4,318.8
304,309.8,317.3,204.3
305,301.7,273.6,235.0
306,282.0,311.0,276.2
307,398.6,417.1,364.8
308,223.7,238.9,241.4
309,255.3,304.7,180.0
310,271.2,341.6,394.8
311,316.4,565.3,267.9
312,392.3,306.7,468.4
313,357.0,355.7,216.7
314,482.2,553.4,235.5
315,249.1,282.7,264.8
316,609.2,522.9,376.9
317,423.8,496.0,287.2
318,260.1,282.1,183.1
319,229.4,290.2,275.6
320,495.9,509.3,287.7
321,300.7,372.7,184.8
322,316.8,405.9,224.8
323,678.7,629.7,196.4
324,387.9,448.1,302.7
325,903.9,788.0,622.1
326,378.1,417.8,246.6
327,543.5,621.8,346.5
328,671.7,605.9,326.5
329,627.0,593.7,172.7
330,310.0,212.4,195.4
331,329.1,339.1,231.5
332,348.4,350.6,204.2
333,617.4,624.8,287.0
334,501.3,708.5,286.1
335,390.5,421.5,268.4
336,397.3,791.9,216.0
337,792.4,868.0,322.5
338,457.4,590.1,130.6
339,245.5,436.9,184.4
340,679.5,569.5,353.9
341,529.8,824.5,264.6
342,668.5,544.8,210.1
343,389.1,633.1,249.6
344,115.7,277.0,108.2
345,289.5,445.1,207.3
346,696.4,492.7,264.8
347,644.7,700.3,150.0
348,545.0,522.4,184.9
349,439.9,666.4,225.8
350,281.9,369.2,165.2
351,539.4,696.4,207.9
352,354.0,644.1,362.5
353,569.8,672.8,286.9
354,462.5,588.6,230.8
355,923.0,630.4,485.6
356,561.2,550.8,266.1
357,514.7,651.6,401.9
358,309.6,476.8,284.4
359,517.1,794.3,300.6
360,617.8,439.5,241.3
361,484.3,616.4,266.7
362,687.0,754.7,359.9
363,296.3,340.1,333.5
364,628.5,473.5,540.4
365,239.0,342.7,185.0
366,426.0,522.7,308.4
367,936.8,547.7,441.4
368,599.9,770.9,420.8
369,501.0,755.4,199.7
370,688.7,502.4,294.7
371,423.6,399.3,212.8
372,298.5,625.7,234.5
373,566.9,657.1,344.6
374,311.7,379.7,292.4
375,558.9,556.1,494.1
376,539.3,650.3,162.2
377,694.1,756.3,485.7
378,561.1,602.7,352.5
379,341.9,509.9,594.3
380,467.7,497.2,255.7
381,802.3,942.0,571.4
382,352.2,295.8,299.1
383,773.5,911.4,437.6
384,417.9,505.3,241.6
385,866.6,1000.0,482.5
386,909.6,818.5,617.8
387,640.5,783.9,492.7
388,870.8,975.4,565.4
389,544.2,1000.0,413.9
390,734.7,741.1,283.9
391,792.9,742.8,850.0
392,805.1,748.9,368.0
393,934.8,958.9,749.3
394,721.3,884.2,317.3
395,509.7,689.2,367.6
396,908.9,795.4,637.9
397,458.4,604.9,334.4
398,653.5,795.6,385.5
399,830.1,905.1,360.7
400,816.2,758.3,206.3
401,697.7,672.2,336.3
402,430.7,417.4,297.4
403,391.5,351.3,227.7
404,431.1,819.7,250.2
405,732.0,720.3,436.9
406,811.0,784.1,498.2
407,643.8,751.7,396.9
408,505.3,549.2,369.4
409,632.7,704.7,269.6
410,826.7,797.4,492.2
411,817.1,738.0,408.4
412,608.7,866.8,306.3
413,422.7,568.3,468.6
414,788.7,827.2,386.6
415,494.0,794.6,142.8
416,730.7,856.5,529.7
417,648.2,698.2,286.5
418,898.6,910.6,520.9
419,806.4,668.8,434.5
420,821.2,943.6,842.2
421,789.5,1000.0,404.5
422,971.3,1000.0,844.4
423,931.8,1000.0,646.8
424,694.1,697.5,329.7
425,947.3,957.2,379.9
426,1000.0,1000.0,695.3
427,873.8,718.9,574.3
428,1000.0,1000.0,387.0
429,875.5,766.8,777.1
430,927.0,967.5,760.1
431,549.2,595.6,478.9
432,403.9,421.7,297.1
433,778.0,825.0,231.0
434,849.2,980.6,230.3
435,725.7,747.2,487.4
436,1000.0,942.2,798.8
437,905.1,942.6,933.6
438,825.1,695.2,773.2
439,302.3,412.6,172.4
440,969.5,939.1,279.7
441,801.0,830.8,332.4
442,650.7,707.6,306.6
443,889.6,1000.0,353.9
444,844.5,954.7,469.7
445,1000.0,862.4,355.4
446,968.7,879.3,555.6
447,911.3,733.4,798.3
448,1000.0,1000.0,742.8
449,940.2,958.9,704.6
450,532.4,686.0,211.3
451,367.3,306.9,107.7
452,1000.0,1000.0,760.5
453,988.1,1000.0,480.0
454,877.3,930.0,609.2
455,951.8,995.8,441.7
456,738.1,829.8,444.1
457,632.3,898.6,203.9
